Date,Temperature,Humidity
2025-03-30 12:00:00,39.47,10
2025-03-30 15:00:00,36.25,12
2025-03-30 18:00:00,30.45,16
2025-03-30 21:00:00,28.53,12
2025-03-31 00:00:00,26.78,11
2025-03-31 03:00:00,32.08,11
2025-03-31 06:00:00,37.94,13
2025-03-31 09:00:00,39.99,10
2025-03-31 12:00:00,39.41,10
2025-03-31 15:00:00,35.06,13
2025-03-31 18:00:00,32.1,13
2025-03-31 21:00:00,30.16,14
2025-04-01 00:00:00,27.45,15
2025-04-01 03:00:00,31.67,24
2025-04-01 06:00:00,38.15,18
2025-04-01 09:00:00,40.56,12
2025-04-01 12:00:00,39.86,12
2025-04-01 15:00:00,35.15,16
2025-04-01 18:00:00,33.0,19
2025-04-01 21:00:00,31.65,20
2025-04-02 00:00:00,30.43,25
2025-04-02 03:00:00,32.5,32
2025-04-02 06:00:00,38.08,21
2025-04-02 09:00:00,39.98,16
2025-04-02 12:00:00,39.58,14
2025-04-02 15:00:00,32.63,25
2025-04-02 18:00:00,30.5,29
2025-04-02 21:00:00,28.75,31
2025-04-03 00:00:00,28.07,30
2025-04-03 03:00:00,32.29,23
2025-04-03 06:00:00,37.75,13
2025-04-03 09:00:00,39.66,13
2025-04-03 12:00:00,39.18,13
2025-04-03 15:00:00,35.59,17
2025-04-03 18:00:00,32.29,25
2025-04-03 21:00:00,29.71,31
2025-04-04 00:00:00,29.2,30
2025-04-04 03:00:00,32.54,25
2025-04-04 06:00:00,38.64,15
2025-04-04 09:00:00,40.23,12
